term,n,Q,seconds,minutes,grid_points,finished_at
a(20),a(20),1048576,0,0.00,0,2026-08-15 11:50:33
a(21),a(21),2097152,0,0.00,0,2026-08-15 11:50:33
a(22),a(22),4194304,0,0.00,0,2026-08-15 11:50:33
a(23),a(23),8388608,0,0.00,0,2026-08-15 11:50:33
a(24),a(24),16777216,0,0.00,0,2026-08-15 11:50:33
a(25),a(25),33554432,0,0.00,0,2026-08-15 11:50:33
a(26),a(26),67108864,0,0.00,0,2026-08-15 11:50:34
a(27),a(27),134217728,0,0.00,0,2026-08-15 11:50:34
a(28),a(28),268435456,0,0.00,0,2026-08-15 11:50:34
a(29),a(29),536870912,0,0.00,0,2026-08-15 11:50:34
a(30),a(30),1073741824,0,0.00,0,2026-08-15 11:50:34
a(31),a(31),2147483648,0,0.00,0,2026-08-15 11:50:50
a(32),a(32),4294967296,0,0.00,0,2026-08-15 11:50:50
a(33),a(33),8589934592,0,0.00,0,2026-08-15 11:50:50
a(34),a(34),17179869184,0,0.00,0,2026-08-15 11:50:50
a(35),a(35),34359738368,0,0.00,1,2026-08-15 11:50:50
a(36),a(36),68719476736,0,0.00,2,2026-08-15 11:50:50
a(37),a(37),137438953472,0,0.00,3,2026-08-15 11:50:50
a(38),a(38),274877906944,0,0.00,4,2026-08-15 11:50:51
a(39),a(39),549755813888,0,0.00,4,2026-08-15 11:50:51
a(40),a(40),1099511627776,0,0.00,5,2026-08-15 11:50:51
a(41),a(41),2199023255552,0,0.00,6,2026-08-15 11:50:51
a(42),a(42),4398046511104,0,0.00,7,2026-08-15 11:50:52
a(43),a(43),8796093022208,0,0.00,7,2026-08-15 11:50:52
a(44),a(44),17592186044416,0,0.00,8,2026-08-15 11:50:52
a(45),a(45),35184372088832,1,0.02,9,2026-08-15 11:50:53
a(46),a(46),70368744177664,1,0.02,9,2026-08-15 11:50:54
a(47),a(47),140737488355328,1,0.02,10,2026-08-15 11:50:55
a(48),a(48),281474976710656,2,0.03,11,2026-08-15 11:50:57
a(49),a(49),562949953421312,2,0.03,12,2026-08-15 11:50:59
a(50),a(50),1125899906842624,4,0.07,12,2026-08-15 11:51:03
a(51),a(51),2251799813685248,5,0.08,13,2026-08-15 11:51:08
a(52),a(52),4503599627370496,9,0.15,14,2026-08-15 11:51:17
a(40),a(40),1099511627776,4,0.07,0,2026-08-15 11:53:20
a(57),a(57),144115188075855872,21,0.35,9,2026-08-15 11:55:47
a(58),a(58),288230376151711744,24,0.40,10,2026-08-15 11:57:27
a(59),a(59),576460752303423488,41,0.68,10,2026-08-15 12:00:17
a(60),a(60),1152921504606846976,47,0.78,11,2026-08-15 12:04:26
a(61),a(61),2305843009213693952,72,1.20,12,2026-08-15 12:11:06
a(62),a(62),4611686018427387904,97,1.62,12,2026-08-15 12:20:27
a(63),a(63),9223372036854775808,146,2.43,13,2026-08-15 12:35:47
a(64),a(64),18446744073709551616,199,3.32,14,2026-08-15 13:21:37
a(65),a(65),36893488147419103232,303,5.05,14,2026-08-15 13:57:10
a(66),a(66),73786976294838206464,435,7.25,15,2026-08-15 14:45:24
a(67),a(67),147573952589676412928,788,13.13,16,2026-08-15 16:14:18
a(68),a(68),295147905179352825856,1091,18.18,17,2026-08-15 20:28:17
a(69),a(69),590295810358705651712,1876,31.27,17,2026-08-16 02:08:04
a(70),a(70),1180591620717411303424,2419,40.32,18,2026-08-16 06:58:52
a(71),a(71),2361183241434822606848,3996,66.60,19,2026-08-16 14:47:49
a(72),a(72),4722366482869645213696,6008,100.13,19,2026-08-17 06:34:07
